rest_name,status,no_of_reviews,type,info
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
91. Musume izakaya,Open Now,188 reviews,Japanese,188 reviews Open Now Japanese ££ - £££
92. Pizzeria Los Argentinos,Open Now,59 reviews,"Pizza, Argentinian","59 reviews Open Now Pizza, Argentinian ££ - £££"
93. 11 Aldeanos,Open Now,229 reviews,Spanish,229 reviews Open Now Spanish ££ - £££
94. Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
95. La Barraca,Open Now,326 reviews,"Mediterranean, European","326 reviews Mediterranean, European ££ - £££"
96. Zuga,Open Now,277 reviews,"Bar, Spanish","277 reviews Open Now Bar, Spanish ££ - £££"
97. Restaurante Lurrina,Open Now,254 reviews,"Bar, Spanish","254 reviews Open Now Bar, Spanish ££ - £££"
98. Restaurante Yandiola,Open Now,557 reviews,"Mediterranean, European","557 reviews Open Now Mediterranean, European ££££"
99. ENEKO Bilbao,Open Now,112 reviews,European,112 reviews Open Now European ££££
100. Victor Montes Restaurante,Open Now,"1,504 reviews","Mediterranean, European","1,504 reviews Open Now Mediterranean, European ££ - £££"
101. La Baka Baska,Open Now,290 reviews,Arabic,290 reviews Open Now Arabic ££ - £££
102. Hotel Gran Bilbao Restaurante,Open Now,166 reviews,"International, European","166 reviews International, European ££ - £££"
103. Bizarre Bilbao,Open Now,38 reviews,"Brew Pub, Bar","38 reviews Brew Pub, Bar ££ - £££"
104. Las Cepas,Open Now,557 reviews,"Mediterranean, European","557 reviews Open Now Mediterranean, European ££ - £££"
105. Cafe Iruna,Open Now,"2,524 reviews","Cafe, Mediterranean","2,524 reviews Open Now Cafe, Mediterranean ££ - £££"
106. Basquery,Open Now,317 reviews,"European, Spanish","317 reviews Open Now European, Spanish ££ - £££"
Wasabi,Open Now,307 reviews,"Japanese, Sushi","307 reviews Open Now Japanese, Sushi ££ - £££ Menu"
107. Casilda,Open Now,380 reviews,"Mediterranean, Spanish","380 reviews Open Now Mediterranean, Spanish ££ - £££"
108. Restaurante Saibigain,Open Now,180 reviews,"Diner, Spanish","180 reviews Open Now Diner, Spanish ££ - £££"
109. Singular,Open Now,106 reviews,"Bar, Pub","106 reviews Open Now Bar, Pub ££ - £££"
110. De Santa Rosalia,Open Now,299 reviews,"Mediterranean, European","299 reviews Open Now Mediterranean, European ££ - £££"
111. Axpe Goikoa Erretegia,Open Now,84 reviews,Spanish,84 reviews Open Now Spanish ££ - £££
112. Restaurante Blanco y Negro,Open Now,62 reviews,"Spanish, Diner","62 reviews Spanish, Diner ££ - £££"
113. Restaurante Kasko,Open Now,639 reviews,££ - £££,639 reviews Open Now ££ - £££
114. El Figon,Open Now,199 reviews,"Bar, Mediterranean","199 reviews Open Now Bar, Mediterranean ££ - £££"
115. Punjab Indian Restaurant,Open Now,171 reviews,"Indian, Asian","171 reviews Indian, Asian ££ - £££"
61. SUA SAN,Open Now,661 reviews,"Mediterranean, European","661 reviews Open Now Mediterranean, European ££ - £££"
62. El Perro Chico,Open Now,411 reviews,"Mediterranean, European","411 reviews Open Now Mediterranean, European ££ - £££ Menu"
63. Nerua Guggenheim Bilbao,Closes in 17 min,542 reviews,Spanish,542 reviews Closes in 17 min Spanish ££££
64. Restaurante Zurima,Open Now,485 reviews,"Mediterranean, European","485 reviews Open Now Mediterranean, European ££ - £££"
65. Baka Vieja,Open Now,78 reviews,"American, Fast food","78 reviews Open Now American, Fast food ££ - £££"
